,Unnamed: 0,Country,Female,Male
0,0,Afghanistan,21,24
1,1,Albania,24,30
2,2,Algeria,28,32
3,3,Angola,21,25
4,4,Argentina,24,26
5,5,Armenia,24,28
6,6,Aruba,28,31
7,7,Australia,29,31
8,8,Austria,27,29
9,9,Azerbaijan,24,28
10,10,"Bahamas, The",27,30
11,11,Bahrain,26,not available
12,12,Bangladesh,18,25
13,13,Barbados,17,34
14,14,Belarus,22,24
15,15,Belgium,26,28
16,16,Belize,20,22
17,17,Benin,20,25
18,18,Bermuda,31,32
19,19,Bhutan,23,26
20,20,Bolivia,24,26
21,21,Bosnia and Herzegovina,25,29
22,22,Botswana,22,29
23,23,Brazil,23,26
24,24,Brunei Darussalam,26,29
25,25,Bulgaria,32,35
26,26,Burkina Faso,20,26
27,27,Burundi,22,26
28,28,Cabo Verde,22,27
29,29,Cambodia,21,24
30,30,Cameroon,22,28
31,31,Canada,27,28
32,32,Cayman Islands,28,29
33,33,Central African Republic,17,21
34,34,Chad,18,24
35,35,Chile,27,29
36,36,China,25,27
37,37,Colombia,22,26
38,38,Comoros,22,25
39,39,"Congo, Dem. Rep.",20,25
40,40,"Congo, Rep.",21,27
41,41,Costa Rica,26,29
42,42,Cote d'Ivoire,23,29
43,43,Croatia,27,30
44,44,Cuba,22,25
45,45,Cyprus,26,29
46,46,Czechia,32,34
47,47,Denmark,31,33
48,48,Djibouti,29,33
49,49,Dominican Republic,21,24
50,50,Ecuador,21,25
51,51,"Egypt, Arab Rep.",22,28
52,52,El Salvador,22,25
53,53,Equatorial Guinea,20,26
54,54,Estonia,33,36
55,55,Eswatini,26,30
56,56,Ethiopia,21,25
57,57,Faroe Islands,31,34
58,58,Fiji,24,27
59,59,Finland,30,32
60,60,France,32,33
61,61,French Polynesia,33,35
62,62,Gabon,22,27
63,63,"Gambia, The",21,29
64,64,Georgia,22,27
65,65,Germany,31,33
66,66,Ghana,23,27
67,67,Gibraltar,29,31
68,68,Greece,29,32
69,69,Greenland,32,34
70,70,Guatemala,22,25
71,71,Guinea,19,28
72,72,Guinea-Bissau,24,30
73,73,Guyana,19,21
74,74,Haiti,24,28
75,75,Honduras,21,24
76,76,"Hong Kong SAR, China",29,32
77,77,Hungary,32,35
78,78,Iceland,32,33
79,79,India,21,26
80,80,Indonesia,22,27
81,81,"Iran, Islamic Rep.",23,27
82,82,Iraq,22,26
83,83,Ireland,32,33
84,84,Isle of Man,30,32
85,85,Israel,26,29
86,86,Italy,32,35
87,87,Jamaica,25,not available
88,88,Japan,29,30
89,89,Jordan,24,30
90,90,Kazakhstan,22,26
91,91,Kenya,21,26
92,92,Kiribati,21,24
93,93,"Korea, Dem. People's Rep.",25,29
94,94,"Korea, Rep.",31,33
95,95,Kuwait,25,27
96,96,Kyrgyz Republic,21,25
97,97,Lao PDR,20,24
98,98,Latvia,30,33
99,99,Lebanon,28,32
100,100,Lesotho,22,28
101,101,Liberia,22,26
102,102,Liechtenstein,29,32
103,103,Lithuania,32,35
104,104,Luxembourg,30,32
105,105,"Macao SAR, China",30,32
106,106,Madagascar,19,22
107,107,Malawi,20,24
108,108,Malaysia,25,28
109,109,Maldives,22,25
110,110,Mali,18,25
111,111,Malta,28,30
112,112,Marshall Islands,24,25
113,113,Mauritania,21,29
114,114,Mauritius,23,29
115,115,Mexico,23,25
116,116,"Micronesia, Fed. Sts.",25,not available
117,117,Moldova,25,28
118,118,Monaco,30,33
119,119,Mongolia,23,25
120,120,Montenegro,26,29
121,121,Morocco,24,31
122,122,Mozambique,18,23
123,123,Myanmar,22,25
124,124,Namibia,30,34
125,125,Nauru,20,not available
126,126,Nepal,20,23
127,127,Netherlands,32,34
128,128,New Caledonia,32,34
129,129,New Zealand,30,32
130,130,Nicaragua,21,24
131,131,Niger,17,24
132,132,Nigeria,21,28
133,133,North Macedonia,25,not available
134,134,Northern Mariana Islands,28,30
135,135,Norway,32,34
136,136,Oman,25,27
137,137,Pakistan,23,26
138,138,Palau,28,29
139,139,Panama,21,25
140,140,Papua New Guinea,21,26
141,141,Paraguay,21,not available
142,142,Peru,23,27
143,143,Philippines,23,27
144,144,Poland,26,28
145,145,Portugal,30,32
146,146,Puerto Rico,29,30
147,147,Qatar,25,27
148,148,Romania,25,29
149,149,Russian Federation,24,27
150,150,Rwanda,24,27
151,151,Samoa,23,27
152,152,San Marino,31,34
153,153,Sao Tome and Principe,21,25
154,154,Saudi Arabia,26,30
155,155,Senegal,22,30
156,156,Serbia,26,30
157,157,Sierra Leone,23,27
158,158,Singapore,27,30
159,159,Sint Maarten (Dutch part),28,32
160,160,Slovak Republic,31,33
161,161,Slovenia,34,35
162,162,Solomon Islands,22,26
163,163,Somalia,20,not available
164,164,South Africa,27,30
165,165,South Sudan,18,25
166,166,Spain,27,30
167,167,Sri Lanka,23,27
168,168,St. Lucia,21,not available
169,169,St. Vincent and the Grenadines,21,27
170,170,Sudan,21,28
171,171,Suriname,29,32
172,172,Sweden,31,33
173,173,Switzerland,30,33
174,174,Syrian Arab Republic,25,not available
175,175,Tajikistan,20,24
176,176,Tanzania,21,25
177,177,Thailand,22,28
178,178,Timor-Leste,23,27
179,179,Togo,21,27
180,180,Tonga,25,27
181,181,Trinidad and Tobago,29,31
182,182,Tunisia,28,32
183,183,Turkiye,23,27
184,184,Turkmenistan,23,not available
185,185,Tuvalu,21,not available
186,186,Uganda,20,24
187,187,Ukraine,23,25
188,188,United Arab Emirates,25,26
189,189,United Kingdom,27,28
190,190,United States,27,29
191,191,Uruguay,23,26
192,192,Uzbekistan,22,not available
193,193,Vanuatu,22,25
194,194,"Venezuela, RB",22,25
195,195,Viet Nam,22,26
196,196,Virgin Islands (U.S.),30,32
197,197,West Bank and Gaza,22,26
198,198,"Yemen, Rep.",22,26
199,199,Zambia,21,25
200,200,Zimbabwe,21,26
201,201,American Samoa,not available,not available
202,202,Andorra,not available,not available
203,203,Antigua and Barbuda,not available,not available
204,204,British Virgin Islands,not available,not available
205,205,Channel Islands,not available,not available
206,206,Curacao,not available,not available
207,207,Dominica,not available,not available
208,208,Eritrea,not available,not available
209,209,Grenada,not available,not available
210,210,Guam,not available,not available
211,211,Kosovo,not available,not available
212,212,Libya,not available,not available
213,213,Seychelles,not available,not available
214,214,St. Kitts and Nevis,not available,not available
215,215,St. Martin (French part),not available,not available
216,216,Turks and Caicos Islands,not available,not available
